Date,Shot,Time_Start,Time_End,Mean_Ratio,Mean_Bt_Axis,Mean_Bp_Max,Classification
241225,36,500,530,0.338576791035367,0.0196963343448258,0.0597187279295467,Spheromak
241225,37,500,530,0.25246749079642,0.016299554334288,0.066242782669164,Spheromak
241225,38,500,530,0.238301290492237,0.0143111433473453,0.0628653920445405,Spheromak
241225,39,500,530,0.0998748985829313,0.0025385182602345,0.0588497383283609,FRC
241225,40,500,530,0.0795188869158738,0.000578348923474422,0.0621088475862858,FRC
241225,41,500,530,0.088687106798047,-0.00573086194833982,0.0617254955176187,FRC
241225,42,500,530,0.120075441853927,-0.00787353249766532,0.0594114660805362,Spheromak
241225,47,500,530,0.503218048761172,0.0289471927448721,0.0572561356428943,Spheromak
241225,48,500,530,0.424256936769233,0.0227241940531579,0.0527476197435848,Spheromak
241225,49,500,530,0.565620332926063,0.0316577721548885,0.0556192312747319,Spheromak
241225,50,500,530,0.337180506396494,0.0164622733296921,0.0490584905859694,Spheromak
241225,51,500,530,0.280881340417504,0.0152363744458505,0.0542803392239609,Spheromak
241225,52,500,530,0.386776822033675,0.0204089718988388,0.0525503033916557,Spheromak
241225,53,500,530,0.147964529566151,0.00751435198522398,0.0512803830768271,Spheromak
241225,54,500,530,0.137803310977409,0.00711225644530568,0.0528237135359087,Spheromak
241225,55,500,530,0.182141505985602,0.00988530311585849,0.054264597363096,Spheromak
241225,56,500,530,0.0947677563789474,-0.00548965034729911,0.0538232279045542,FRC
241225,57,500,530,0.105869947923769,-0.0062160281185971,0.0561526102199207,Spheromak
241225,59,500,530,0.646179497114815,0.0356663229778582,0.054765652801006,Spheromak
241225,60,500,530,0.78926238714412,0.0411884663436093,0.0521011492307433,Spheromak
241225,61,500,530,0.711574914053658,0.0351662646932512,0.0489065320891906,Spheromak
241124,24,500,530,0.116652885288985,0.00716666488305821,0.0598482213490122,Spheromak
241124,25,500,530,0.0939638473396912,0.00565408597403539,0.059512069242334,FRC
241124,26,500,530,0.0764586276017282,0.00412339570786659,0.0569153708316356,FRC
241124,28,500,530,0.148874014390619,0.0090280400799362,0.0595835617175947,Spheromak
241124,29,500,530,0.0427652550120194,-0.00124099849654156,0.0592930132521579,FRC
241124,30,500,530,0.0456684726526949,0.00153039598333059,0.0574065945443103,FRC
241124,32,500,530,0.0180130364179382,-0.000223778751000295,0.057908211419653,FRC
241124,33,500,530,0.151994528387125,0.00917785570385209,0.0578073454972881,Spheromak
241124,34,500,530,0.139610992181124,0.00806923410567639,0.0554160944126676,Spheromak
241124,35,500,530,0.105414868720773,0.0057963778119299,0.0551519327001309,Spheromak
241124,36,500,530,0.133222729555768,0.00764637677793704,0.0561789621886941,Spheromak
241124,38,500,530,0.289828508657799,0.0169004140324533,0.0566596300921076,Spheromak
241124,39,500,530,0.328336922717812,0.0191950146151936,0.0574827479538566,Spheromak
241124,40,500,530,0.30243308619555,0.0172643529137703,0.0554614005656983,Spheromak
241124,41,500,530,0.263562984051572,0.0154984687338596,0.0577836692258119,Spheromak
241124,42,500,530,0.28917445520914,0.0170221455702735,0.0576403039287095,Spheromak
241124,43,500,530,0.184507729043607,0.0102672460463581,0.0564332323284115,Spheromak
241124,44,500,530,0.266024008162652,0.0149141678578504,0.0549246540522958,Spheromak
241124,45,500,530,0.259825890278676,0.0151773240284349,0.0569891644379961,Spheromak
241124,46,500,530,0.304669859483913,0.0179273187437566,0.0577695074705605,Spheromak
241124,47,500,530,0.298331700808508,0.017632759720977,0.0578920154847273,Spheromak
241124,48,500,530,0.295618197884294,0.0173385749977045,0.057144319872144,Spheromak
241124,49,500,530,0.24653066275002,0.0142399257303748,0.0569067772286279,Spheromak
241124,50,500,530,0.279154455859769,0.0157278820118305,0.0552209882304169,Spheromak
241124,51,500,530,0.264692825278978,0.0152878057865915,0.0562801983117849,Spheromak
241124,52,500,530,0.315608244954019,0.0185316256091762,0.0573485389867431,Spheromak
241124,53,500,530,0.326769251205323,0.0189044108970945,0.0567148097483703,Spheromak
241110,18,500,515,0.220887446629622,0.0181737245973199,0.0823880878141076,Spheromak
241110,19,500,515,0.118470555828408,0.0101671537625942,0.0861810387366639,Spheromak
241110,22,500,515,0.261857436220012,0.0208986266044328,0.079675096765109,Spheromak
241110,23,500,515,0.199000002756939,0.0168148308387336,0.084708523328823,Spheromak
241110,24,500,515,0.125464163601882,0.0101740022428269,0.080828573387878,Spheromak
241110,25,500,515,0.0484281166288684,0.000989789839351095,0.0719491876434978,FRC
241110,26,500,515,0.112829419859376,-0.00857953051745739,0.0756423791160469,Spheromak
241110,27,500,515,0.0579231259401386,0.00101370075635298,0.0758794479310962,FRC
241110,28,500,515,0.402221245741519,0.0259454106398354,0.0644197327889157,Spheromak
241110,29,500,515,0.225956168846911,0.0176588248096451,0.0782442929414507,Spheromak
241110,30,500,515,0.0857792746978899,0.00457915327796105,0.0779191029371819,FRC
241110,31,500,515,0.212269578615541,0.0145968728501066,0.0683628486263888,Spheromak
241110,32,500,515,0.389955947626709,0.0273324664780123,0.0701144269253448,Spheromak
241110,33,500,515,0.30525838114119,0.021026719963288,0.0686723940332474,Spheromak
240611,110,500,530,0.21990122849073,0.01084419161226,0.0640595183870991,Spheromak
240611,111,500,530,0.243047823059001,0.0147573208145382,0.0645922592810304,Spheromak
240611,113,500,530,0.223136857246121,0.0134012220963535,0.064831176539245,Spheromak
240611,114,500,530,0.230189884372449,0.0118764812625723,0.0642102337885069,Spheromak
